id,desc
1,reliance-jio-and-mobikwik-money-deducted-but-phone-not-recharge-through-mobikwik-c1858353
2,vodafone-reliance-jio-airtel-pathetic-data-network-c1814342
3,reliance-jio-network-poor-internet-speed-c1803357
4,reliance-jio-mobile-service-no-network-coverage-c1795350
5,reliance-jio-tower-removal-of-mobile-tower-in-midst-of-residential-area-c1784446
6,cheating-by-reliance-jio-sr00000ct4mu-sr00000ct52j-not-ready-to-cancel-the-connections-even-after-many-requests-c1745707
7,indiaideasicici-reliance-jio-scammed-c1741424
8,reliance-jio-4g-service-poor-service-c1739955
9,reliance-jio-infocomms-recharge-issues-c1707026
10,reliance-jio-phone-i-have-not-yet-received-any-confirmation-after-booking-of-reliance-jio-phone-after-payment-of-rs500--c1676468
11,reliance-jio-digital-recharge-amount-not-showing-c1665158
12,paytm-reliance-jio-jio-number-recharged-through-paytm-wallet-money-deducted-but-not-charged-c1587620
13,reliance-jiocom-jio-network-is-not-available-c1559891
14,reliance-jio-infocome-amount-debited-but-not-credited-c1547088
15,payment-through-paytm-to-reliance-jio-payment-done-from-paytm-but-not-received-by-reliance-jio-c1532194
16,reliance-jio-tower-fraud-to-me-c1507290
17,reliance-jio-service-for-blocking-imei-noof-cell-phone-c1465037
18,reliance-jio-digital-services-pvt-ltd-jio-sims-redeemed-without-my-knowledge-c1412565
19,reliance-jio-infocom-jio-barcode-shows-redeemed-c1408055
20,lyf-mobiles-reliance-jio-lyf-water-5-mobile-c1345127
21,hdfc-bank-limited-b100164
22,payzapp-payment-made-on-payzapp-for-recharge-of-my-reliance-jio-number-c2532422
23,reliance-digital-b104202
24,reliance-digital-reliance-jio-recharge-amount-deducted-but-recharge-failed-c2530223
25,mbs-top-up-reliance-jio-unsuccessful-recharge-c2528203
26,trai-b106104
27,trai-reliance-jio-infocomm-networks-c2502911
28,noida-authority-online-b115838
29,noida-authority-online-non-laying-of-optic-fiber-broadband-cable-by-airtel-and-reliance-jio-c2427521
30,trai-b106104
31,trai-mobile-connection-of-reliance-jio-c2397895
32,idea-cellular-b100169
33,idea-cellular-unable-to-port-my-idea-postpaid-no-to-reliance-jio-c2396648
34,billdesk-b100201
35,billdesk-reliance-jio-recharge-of-rs349--c2384672
36,jaxtakart-b115392
37,jaxtakart-non-receipt-of-reliance-jio-wifi-m2-wireless-device-battery-model-scud-mfb260001-c2376784
38,reliance-infocomm-b102788
39,reliance-infocomm-reliance-jio-pole-erection-c2340742
40,tirunelveli-corporation-reliance-jio-network-cable-digging-work-c2315507
41,rpsl-billdesk-399-rs-cut-from-my-hdfc-credit-card-for-reliance-jio-payment-but-cannot-find-out-where-it-is-credited-c2304696
42,trai-b106104
43,trai-reliance-jio-no-network-on-mobile-c2283492
44,rage-multi-state-credit-co-operative-society-limited-fridley-make-fd-much-amounts-for-installation-reliance-jio-towers-c2260111
45,trai-b106104
46,trai-reliance-jio-infocomm-not-helping-on-my-mobile-number-sudden-disconnection-without-any-consent-or-prior-notice-c2229979
47,trai-b106104
48,trai-reliance-jio-is-not-refunding-my-recharged-money-c2213387
49,mobikwik-b100174
50,mobikwik-reliance-jio-recharge-149-c2199954
51,state-bank-of-india-sbi-b100095
52,state-bank-of-india-sbi-reliance-jio-recharge-c2156653
53,atom-tech-rechargeable-payment-for-reliance-jio-c2147431
54,trai-b106104
